,room,category,area,capacity,capacity_guess,delta
0,B00A - R0001 - Home Base - (71.49 SQM) - Teaching Space: 1,Student Space (33),71.49,33,33,0
1,B00A - R0002 - Home Base - (71.4 SQM) - Teaching Space: 1,Student Space (33),71.4,33,33,0
7,B00A - R0010 - Sick Bay - (8.39 SQM),Student Space (3),8.39,3,3,0
13,B00B - R0002 - Home Base - (77.27 SQM) - Teaching Space: 1,Student Space (35),77.27,35,35,0
15,B00B - R0005 - Withdrawal Space - 1hb - (11.84 SQM),Student Space (5),11.84,5,5,0
17,B00B - R0008 - Home Base - (77.31 SQM) - Teaching Space: 1,Student Space (35),77.31,35,35,0
19,B00C - R0002 - Reading Area - (78.22 SQM),Student Space (36),78.22,36,36,0
20,B00C - R0004 - Special Programs Room - (35.52 SQM),Student Space (16),35.52,16,16,0
23,B00E - R0005 - Withdrawal Space - 1hb - (13.87 SQM),Student Space (6),13.87,6,6,0
24,B00E - R0006 - Withdrawal Space - 1hb - (11.9 SQM),Student Space (5),11.9,5,5,0
25,B00E - R0007 - Withdrawal Space - 1hb - (13.79 SQM),Student Space (6),13.79,6,6,0
26,B00E - R0010 - Home Base - (59.04 SQM) - Teaching Space: 1,Student Space (27),59.04,27,27,0
27,B00E - R0011 - Practical Activities - 1hb - (18.38 SQM),Student Space (8),18.38,8,8,0
28,B00E - R0012 - Practical Activities - 1hb - (18.42 SQM),Student Space (8),18.42,8,8,0
29,B00E - R0013 - Home Base - (59.15 SQM) - Teaching Space: 1,Student Space (27),59.15,27,27,0
31,B00G - R0001 - Home Base - (59.35 SQM) - Teaching Space: 1,Student Space (27),59.35,27,27,0
34,B00H - R0005 - Home Base - (53.41 SQM) - Teaching Space: 1,Student Space (24),53.41,24,24,0
35,B00J - R0002 - Communal Space - (142.91 SQM),Student Space (66),142.91,66,66,0
39,B00L - R0003 - Home Base - (60.71 SQM) - Teaching Space: 1,Student Space (28),60.71,28,28,0
