,room,category,area,capacity,student_space
0,B00A - R0001 - Computer Learning Space - (60.32 SQM) - Teaching Space: 1,Student Space (27),60.32,27,True
1,B00A - R0008 - Computer Learning Space - (60.3 SQM) - Teaching Space: 1,Student Space (27),60.3,27,True
2,B00A - R0014 - General Learning Space - (57.91 SQM) - Teaching Space: 1,Student Space (26),57.91,26,True
3,B00A - R0015 - General Learning Space - (58.23 SQM) - Teaching Space: 1,Student Space (27),58.23,27,True
4,B00A - R0016 - General Learning Space - (57.96 SQM) - Teaching Space: 1,Student Space (26),57.96,26,True
5,B00A - R0018 - General Learning Space - (63.43 SQM) - Teaching Space: 1,Student Space (29),63.43,29,True
6,B00A - R0019 - General Learning Space - (63.34 SQM) - Teaching Space: 1,Student Space (29),63.34,29,True
7,B00A - R0021 - General Learning Space - (58.22 SQM) - Teaching Space: 1,Student Space (27),58.22,27,True
8,B00A - R0022 - General Learning Space - (57.9 SQM) - Teaching Space: 1,Student Space (26),57.9,26,True
9,B00A - R0023 - General Learning Space - (58.13 SQM) - Teaching Space: 1,Student Space (26),58.13,26,True
10,B00A - R0026 - General Learning Space - (66.32 SQM) - Teaching Space: 1,Student Space (30),66.32,30,True
11,B00A - R0028 - Seminar - Type 1 - (27.92 SQM),Office (6),27.92,6,False
12,B00A - R0031 - Movement - (30.01 SQM),Not Applicable,30.01,0,False
13,B00A - R0034 - Seminar - Type 1 - (27.92 SQM),Office (6),27.92,6,False
14,B00A - R0037 - General Learning Space - (66.15 SQM) - Teaching Space: 1,Student Space (30),66.15,30,True
15,B00A - R0038 - Movement - (9.22 SQM),Not Applicable,9.22,0,False
16,B00A - R0039 - Shared Learning Space - (71.99 SQM),Student Space (33),71.99,33,True
17,B00A - R0040 - Movement - (14.32 SQM),Not Applicable,14.32,0,False
18,B00A - R0041 - Movement - (14.22 SQM),Not Applicable,14.22,0,False
19,B00A - R0042 - Computer Learning Space - (71.94 SQM) - Teaching Space: 1,Student Space (33),71.94,33,True
20,B00A - R0043 - Movement - (9.45 SQM),Not Applicable,9.45,0,False
21,B00A - R9001 - Public Entry - (17.19 SQM),Not Applicable,17.19,0,False
22,B00A - R9013 - Principal Office - (24.36 SQM),Office (6),24.36,6,False
23,B00A - R9020 - Interview/Meeting - (16.95 SQM),Office (4),16.95,4,False
24,B00A - R9021 - Interview/Meeting - (13.98 SQM),Office (3),13.98,3,False
25,B00A - R9023 - Movement - (33.08 SQM),Not Applicable,33.08,0,False
26,B00A - R9026 - Clinic - (13.21 SQM),Office (3),13.21,3,False
27,B00A - R9027 - Interview/Office - Type 1 - (13.2 SQM),Office (3),13.2,3,False
28,B00A - R9028 - Interview/Office - Type 1 - (12.53 SQM),Office (3),12.53,3,False
29,B00A - R9030 - Interview/Office - Type 1 - (13.28 SQM),Office (3),13.28,3,False
30,B00A - R9031 - Interview/Office - Type 1 - (13.21 SQM),Office (3),13.21,3,False
31,B00A - R9032 - Tea Room - (12.74 SQM),Not Applicable,12.74,0,False
32,B00A - R9046 - General Learning Space - (58.77 SQM) - Teaching Space: 1,Student Space (27),58.77,27,True
33,B00A - R9048 - Administration - Clerical - (109.47 SQM),Office (27),109.47,27,False
34,B00A - R9049 - Movement - (71.6 SQM),Not Applicable,71.6,0,False
35,B00A - R9050 - Administration - Executive - (12.69 SQM),Office (3),12.69,3,False
36,B00A - R9051 - Interview/Office - Type 1 - (12.76 SQM),Office (3),12.76,3,False
37,B00A - R9052 - Deputy Principal Office - (13.76 SQM),Office (3),13.76,3,False
38,B00A - R9053 - Interview/Meeting - (34.11 SQM),Office (8),34.11,8,False
39,B00A - R9055 - Staff Study - (109.18 SQM),Office (27),109.18,27,False
40,B00A - R9056 - Tea Room - (6.07 SQM),Not Applicable,6.07,0,False
41,B00A - R9058 - Ancillary Staff - (16.77 SQM),Office (4),16.77,4,False
42,B00A - R9062 - Public Reception - (37.12 SQM),Not Applicable,37.12,0,False
43,B00A - R9064 - Deputy Principal Office - (14.12 SQM),Office (3),14.12,3,False
44,B00A - R9065 - Deputy Principal Office - (17.65 SQM),Office (4),17.65,4,False
45,B00A - R9068 - General Learning Space - (66.31 SQM) - Teaching Space: 1,Student Space (30),66.31,30,True
46,B00A - R9069 - Administration - Executive - (10.06 SQM),Office (2),10.06,2,False
47,B00A - R9070 - Seminar - Type 1 - (14.03 SQM),Office (3),14.03,3,False
